"condition","group","question","value","trial_index","ID","FastorSlow","measure"
"immoral",1,"Nate_Q9",3,19,"19","s","impulsivity"
"immoral",1,"Nate_Q10",2,20,"19","s","impulsivity"
"moral",1,"Justin_Q1",6,1,"20","f","quickness"
"moral",1,"Justin_Q2",6,2,"20","f","character"
"moral",1,"Justin_Q3",6,3,"20","f","character"
"moral",1,"Justin_Q4",6,4,"20","f","character"
"moral",1,"Justin_Q5",NA,5,"20","f","certainty"
"moral",1,"Justin_Q6",NA,6,"20","f","certainty"
"moral",1,"Justin_Q7",6,7,"20","f","certainty"
"moral",1,"Justin_Q8",NA,8,"20","f","certainty"
"moral",1,"Justin_Q9",6,9,"20","f","impulsivity"
"moral",1,"Justin_Q10",NA,10,"20","f","impulsivity"
"moral",1,"Nate_Q1",NA,11,"20","s","quickness"
"moral",1,"Nate_Q2",5,12,"20","s","character"
"moral",1,"Nate_Q3",6,13,"20","s","character"
"moral",1,"Nate_Q4",5,14,"20","s","character"
"moral",1,"Nate_Q5",4,15,"20","s","certainty"
"moral",1,"Nate_Q6",2,16,"20","s","certainty"
"moral",1,"Nate_Q7",NA,17,"20","s","certainty"
"moral",1,"Nate_Q8",5,18,"20","s","certainty"
"moral",1,"Nate_Q9",5,19,"20","s","impulsivity"
"moral",1,"Nate_Q10",5,20,"20","s","impulsivity"
"immoral",1,"Justin_Q1",6,1,"21","f","quickness"
"immoral",1,"Justin_Q2",3,2,"21","f","character"
"immoral",1,"Justin_Q3",2,3,"21","f","character"
"immoral",1,"Justin_Q4",4,4,"21","f","character"
"immoral",1,"Justin_Q5",1,5,"21","f","certainty"
"immoral",1,"Justin_Q6",5,6,"21","f","certainty"
"immoral",1,"Justin_Q7",5,7,"21","f","certainty"
"immoral",1,"Justin_Q8",1,8,"21","f","certainty"
"immoral",1,"Justin_Q9",5,9,"21","f","impulsivity"
"immoral",1,"Justin_Q10",NA,10,"21","f","impulsivity"
"immoral",1,"Nate_Q1",NA,11,"21","s","quickness"
"immoral",1,"Nate_Q2",3,12,"21","s","character"
"immoral",1,"Nate_Q3",3,13,"21","s","character"
"immoral",1,"Nate_Q4",6,14,"21","s","character"
"immoral",1,"Nate_Q5",5,15,"21","s","certainty"
"immoral",1,"Nate_Q6",1,16,"21","s","certainty"
"immoral",1,"Nate_Q7",1,17,"21","s","certainty"
"immoral",1,"Nate_Q8",5,18,"21","s","certainty"
"immoral",1,"Nate_Q9",1,19,"21","s","impulsivity"
"immoral",1,"Nate_Q10",NA,20,"21","s","impulsivity"
"moral",1,"Justin_Q1",6,1,"22","f","quickness"
"moral",1,"Justin_Q2",3,2,"22","f","character"
"moral",1,"Justin_Q3",3,3,"22","f","character"
"moral",1,"Justin_Q4",4,4,"22","f","character"
"moral",1,"Justin_Q5",5,5,"22","f","certainty"
"moral",1,"Justin_Q6",5,6,"22","f","certainty"
"moral",1,"Justin_Q7",6,7,"22","f","certainty"
"moral",1,"Justin_Q8",1,8,"22","f","certainty"
"moral",1,"Justin_Q9",6,9,"22","f","impulsivity"
"moral",1,"Justin_Q10",2,10,"22","f","impulsivity"
"moral",1,"Nate_Q1",1,11,"22","s","quickness"
"moral",1,"Nate_Q2",3,12,"22","s","character"
"moral",1,"Nate_Q3",5,13,"22","s","character"
"moral",1,"Nate_Q4",4,14,"22","s","character"
"moral",1,"Nate_Q5",4,15,"22","s","certainty"
"moral",1,"Nate_Q6",2,16,"22","s","certainty"
"moral",1,"Nate_Q7",2,17,"22","s","certainty"
"moral",1,"Nate_Q8",4,18,"22","s","certainty"
"moral",1,"Nate_Q9",2,19,"22","s","impulsivity"
"moral",1,"Nate_Q10",1,20,"22","s","impulsivity"
"moral",1,"Justin_Q1",6,1,"23","f","quickness"
"moral",1,"Justin_Q2",6,2,"23","f","character"
"moral",1,"Justin_Q3",6,3,"23","f","character"
"moral",1,"Justin_Q4",6,4,"23","f","character"
"moral",1,"Justin_Q5",NA,5,"23","f","certainty"
"moral",1,"Justin_Q6",6,6,"23","f","certainty"
"moral",1,"Justin_Q7",6,7,"23","f","certainty"
"moral",1,"Justin_Q8",NA,8,"23","f","certainty"
"moral",1,"Justin_Q9",6,9,"23","f","impulsivity"
"moral",1,"Justin_Q10",NA,10,"23","f","impulsivity"
"moral",1,"Nate_Q1",1,11,"23","s","quickness"
"moral",1,"Nate_Q2",3,12,"23","s","character"
"moral",1,"Nate_Q3",2,13,"23","s","character"
"moral",1,"Nate_Q4",3,14,"23","s","character"
"moral",1,"Nate_Q5",5,15,"23","s","certainty"
"moral",1,"Nate_Q6",2,16,"23","s","certainty"
"moral",1,"Nate_Q7",1,17,"23","s","certainty"
"moral",1,"Nate_Q8",6,18,"23","s","certainty"
"moral",1,"Nate_Q9",3,19,"23","s","impulsivity"
"moral",1,"Nate_Q10",2,20,"23","s","impulsivity"
"moral",1,"Justin_Q1",6,1,"24","f","quickness"
"moral",1,"Justin_Q2",6,2,"24","f","character"
"moral",1,"Justin_Q3",6,3,"24","f","character"
"moral",1,"Justin_Q4",6,4,"24","f","character"
"moral",1,"Justin_Q5",6,5,"24","f","certainty"
"moral",1,"Justin_Q6",6,6,"24","f","certainty"
"moral",1,"Justin_Q7",6,7,"24","f","certainty"
"moral",1,"Justin_Q8",NA,8,"24","f","certainty"
"moral",1,"Justin_Q9",NA,9,"24","f","impulsivity"
